,type of loss,loss,conv,fa,cl,asp,ad,acc lp
312,random walks,DeepWalk,GCN,0.5,0.5,2,20,0.6686435733878273
313,random walks,DeepWalk,GCN,0.9,0.2,3,5,0.721318374288491
314,random walks,DeepWalk,GCN,0.5,0.01,2,5,0.7119092627599243
315,random walks,DeepWalk,GCN,0.9,0.01,2,40,0.7052687782460287
316,random walks,DeepWalk,GCN,0.9,0.2,2,5,0.6034309087024206
317,random walks,DeepWalk,GCN,0.9,0.01,3,2,0.7063591510689953
318,random walks,DeepWalk,GCN,0.9,0.2,3,20,0.6261711633663367
319,random walks,DeepWalk,GCN,0.5,0.2,3,2,0.6080343094738954
320,random walks,DeepWalk,GCN,0.5,0.01,2,20,0.6689730810793375
321,random walks,DeepWalk,GCN,0.1,0.5,2,20,0.6463476700653865
322,random walks,DeepWalk,GCN,0.5,0.5,2,40,0.6540520678551743
323,random walks,DeepWalk,GCN,0.9,0.01,3,5,0.7277209642074507
324,random walks,DeepWalk,GCN,0.5,0.2,2,5,0.6362642670370342
325,random walks,DeepWalk,GCN,0.9,0.5,2,5,0.6354766655170524
326,random walks,DeepWalk,GCN,0.1,0.2,3,5,0.5882231404958678
327,random walks,DeepWalk,GAT,0.1,0.01,4,2,0.8112688519544474
328,random walks,DeepWalk,GAT,0.1,0.01,2,5,0.713145247240041
329,random walks,DeepWalk,GCN,0.9,0.2,2,20,0.6217209965294992
330,random walks,DeepWalk,GAT,0.1,0.01,4,5,0.77655500378756
331,random walks,DeepWalk,GAT,0.1,0.01,2,20,0.8446502835538753
332,random walks,DeepWalk,GAT,0.1,0.2,3,2,0.6105344339679931
333,random walks,DeepWalk,GAT,0.1,0.01,7,2,0.6663797110931287
334,random walks,DeepWalk,GCN,0.5,0.01,2,40,0.6706243412486825
335,random walks,DeepWalk,GCN,0.5,0.2,3,5,0.6167800453514739
336,random walks,DeepWalk,GAT,0.1,0.01,2,40,0.7687792663891782
337,random walks,DeepWalk,GCN,0.9,0.5,2,20,0.622682103729585
338,random walks,DeepWalk,GCN,0.1,0.2,3,20,0.6246934576238721
339,random walks,DeepWalk,GAT,0.1,0.01,3,2,0.6482798664537669
340,random walks,DeepWalk,GCN,0.1,0.5,2,40,0.6579383974834522
341,random walks,DeepWalk,GCN,0.5,0.01,3,2,0.6542260145122278
342,random walks,DeepWalk,GAT,0.1,0.01,3,5,0.6274273930228561
343,random walks,DeepWalk,GCN,0.9,0.2,4,2,0.60494
344,random walks,DeepWalk,GAT,0.5,0.01,2,20,0.6567474718149707
345,random walks,DeepWalk,GAT,0.1,0.2,2,5,0.5996709502151949
346,random walks,DeepWalk,GAT,0.1,0.01,3,20,0.6590768181536363
347,random walks,DeepWalk,GCN,0.9,0.5,2,40,0.6305612588598191
348,random walks,DeepWalk,GAT,0.1,0.5,2,20,0.7410438555630317
349,random walks,DeepWalk,GAT,0.1,0.2,3,5,0.6493491735537191
350,random walks,DeepWalk,GAT,0.5,0.01,2,40,0.7161324322648644
